Title,Surname,Status
Earl of Sussex[155],Wettin,extinct
Earl of Kinrara[156],Gordon-Lennox,extant
Earl of Lewes[156],Nevill,extant
Earl of Wharncliffe[156],Stuart-Wortley-Mackenzie,extant
Earl of Northbrook[157],Baring,extinct
Earl of Beaconsfield[158],Disraeli,extinct
Earl of Redesdale[159],Freeman-Mitford,extinct
Earl Cairns[160],Cairns,extant
Earl of Lytton[161],Bulwer-Lytton,extant
Earl of Lathom[162],Bootle-Wilbraham,extinct
Earl Sondes[162],Watson-Milles,extinct
Earl of Clarence[163],Wettin,extinct
Earl of Selborne[164],Palmer,extant
Earl of Iddesleigh[165],Northcote,extant
Earl of Ormelie[166],Campbell,extinct
Earl of Fife[167],Duff,extinct
Earl de Montalt[168],Maude,extinct
Earl of Londesborough[169],Denison,extinct
Earl of Ava[170],Hamilton-Temple-Blackwood,extinct
Earl of Athlone[171],Wettin,extinct
Earl of Inverness[172],Wettin,extinct
Earl of Ancaster[173],Heathcote-Drummond-Willoughby,extinct
Earl of Cranbrook[173],Gathorne-Hardy,extant
Earl of Ronaldshay[174],Dundas,extant
Earl Carrington[175],Wynn-Carrington-Carington,extinct
Earl of Crewe[176],Crewe-Milnes-Offley,extinct
Earl Egerton[177],Egerton,extinct
Earl of Halsbury[178],Giffard,extinct
Earl of Macduff[179],Carnegie,extant
Earl Roberts[180],Roberts-Lewin,extinct
Earl of Cromer[181],Baring,extant
Earl of Plymouth[182],Windsor-Clive,extant
Earl of Liverpool[183],Foljambe,extant
Earl of Madeley[184],Crewe-Milnes-Offley,extinct
Earl Loreburn[184],Reid,extinct
Earl of Midlothian[185],Primrose,extant
Earl Brassey[186],Brassey,extinct
Earl Curzon of Kedleston[187],Curzon,extinct
Earl Kitchener[188],Kitchener,extinct
Earl St Aldwyn[189],Hicks-Beach,extant
Earl of Haddo[190],Gordon,extant
Earl of Eltham[191],Cambridge,extinct
Earl of Athlone[192],Cambridge,extinct
Earl of Medina[192],Mountbatten,extant
Earl of Berkhampsted[192],Mountbatten,extinct
Earl of Reading[193],Isaacs,extant
Earl Beatty[194],Beatty,extant
Earl Haig[194],Haig,extant
Earl of Iveagh[194],Guinness,extant
Earl of Midleton[195],Brodrick,extinct
Earl of Inverness[196],Windsor,extinct
Earl Buxton[197],Buxton,extinct
Earl of Kedleston[198],Curzon,extinct
Earl of Balfour[199],Balfour,extant
Earl of Ypres[200],French,extinct
Earl of Birkenhead[201],Smith,extinct
Earl Farquhar[201],Townsend-Farquhar,extinct
Earl of Oxford and Asquith[202],Asquith,extant
Earl Jellicoe[203],Jellicoe,extant
Earl of Ulster[204],Windsor,extant
Countess Cave of Richmond[205],Cave,extinct
Earl of Inchcape[206],Mackay,extant
Earl Peel[207],Peel,extant
Earl of Willingdon[208],Freeman-Thomas,extinct
Earl of St Andrews[209],Windsor,extant
Earl of Strathmore and Kinghorne[210],Bowes-Lyon,extant
Earl of Bessborough[210],Ponsonby,extinct
Earl Baldwin of Bewdley[210],Baldwin,extant
Earl of Halifax[211],Wood,extant
Earl Lloyd-George of Dwyfor[212],Lloyd-George,extant
Earl of Gowrie[213],Ruthven,extant
Earl Wavell[214],Wavell,extinct
Earl Mountbatten of Burma[215],Mountbatten,extant
Earl of Merioneth[216],Mountbatten,extinct
Earl Jowitt[217],Jowitt,extinct
Earl Alexander of Tunis[218],Alexander,extant
Earl of Swinton[219],Cunliffe-Lister,extant
